/content/gdrive/My Drive/dataset_ml1/Nor_data_hrach/Hrach/with_box/amount0_1_6_1.jpg,273,43,314,89,yes
/content/gdrive/My Drive/dataset_ml1/Nor_data_hrach/Hrach/with_box/amount0_1_6_2.jpg,125,40,178,92,yes
/content/gdrive/My Drive/dataset_ml1/Nor_data_hrach/Hrach/with_box/amount0_1_6_3.jpg,408,43,506,89,yes
/content/gdrive/My Drive/dataset_ml1/Nor_data_hrach/Hrach/with_box/amount0_1_34.jpg,117,231,1152,278,yes
/content/gdrive/My Drive/dataset_ml1/Nor_data_hrach/Hrach/with_box/amount0_1_34_avel.jpg,117,231,1152,278,yes
/content/gdrive/My Drive/dataset_ml1/Nor_data_hrach/Hrach/with_box/amount0_1_34_avel2.jpg,116,230,1153,279,yes
/content/gdrive/My Drive/dataset_ml1/Nor_data_hrach/Hrach/with_box/amount0_1_34_1.jpg,134,65,501,105,yes
/content/gdrive/My Drive/dataset_ml1/Nor_data_hrach/Hrach/with_box/amount0_1_34_2.jpg,135,130,659,200,yes
/content/gdrive/My Drive/dataset_ml1/Nor_data_hrach/Hrach/with_box/amount0_1_34_3.jpg,120,317,1207,363,yes
/content/gdrive/My Drive/dataset_ml1/Nor_data_hrach/Hrach/with_box/amount0_1_34_3_avel.jpg,120,317,1207,363,yes
/content/gdrive/My Drive/dataset_ml1/Nor_data_hrach/Hrach/with_box/amount0_1_34_4.jpg,120,400,1265,465,yes
/content/gdrive/My Drive/dataset_ml1/Nor_data_hrach/Hrach/with_box/amount0_1_34_4_avel.jpg,120,400,1265,465,yes
/content/gdrive/My Drive/dataset_ml1/Nor_data_hrach/Hrach/with_box/amount0_1_34_4_avel2.jpg,119,399,1266,466,yes
/content/gdrive/My Drive/dataset_ml1/Nor_data_hrach/Hrach/with_box/amount0_1_34_5.jpg,116,487,602,533,yes
/content/gdrive/My Drive/dataset_ml1/Nor_data_hrach/Hrach/with_box/amount0_1_35_8.jpg,635,490,785,536,yes
/content/gdrive/My Drive/dataset_ml1/Nor_data_hrach/Hrach/with_box/amount0_1_35_9.jpg,530,642,576,687,yes
/content/gdrive/My Drive/dataset_ml1/Nor_data_hrach/Hrach/with_box/amount0_1_45.jpg,790,69,952,112,yes
/content/gdrive/My Drive/dataset_ml1/Nor_data_hrach/Hrach/with_box/amount0_1_45_1.jpg,157,69,303,112,yes
/content/gdrive/My Drive/dataset_ml1/Nor_data_hrach/Hrach/with_box/amount0_1_45_2.jpg,417,66,694,112,yes
/content/gdrive/My Drive/dataset_ml1/Nor_data_hrach/Hrach/with_box/amount0_1_45_3.jpg,1050,66,1199,112,yes
/content/gdrive/My Drive/dataset_ml1/Nor_data_hrach/Hrach/with_box/amount0_1_35_10.jpg,670,640,711,684,yes
/content/gdrive/My Drive/dataset_ml1/Nor_data_hrach/Hrach/with_box/amount0_1_35_11.jpg,800,639,1032,685,yes
/content/gdrive/My Drive/dataset_ml1/Nor_data_hrach/Hrach/with_box/amount0_1_35_12.jpg,1161,639,1388,685,yes
/content/gdrive/My Drive/dataset_ml1/Nor_data_hrach/Hrach/with_box/chekbox/amount_ch_0_1_6_1.jpg,273,43,314,89,yes
/content/gdrive/My Drive/dataset_ml1/Nor_data_hrach/Hrach/with_box/chekbox/amount_ch_0_1_6_2.jpg,125,40,178,92,yes
/content/gdrive/My Drive/dataset_ml1/Nor_data_hrach/Hrach/with_box/chekbox/amount_ch_0_1_6_3.jpg,408,43,506,89,yes
/content/gdrive/My Drive/dataset_ml1/Nor_data_hrach/Hrach/with_box/chekbox/amount_ch_0_1_34.jpg,117,231,1152,278,yes
/content/gdrive/My Drive/dataset_ml1/Nor_data_hrach/Hrach/with_box/chekbox/amount_ch_0_1_34_1.jpg,134,65,501,105,yes
/content/gdrive/My Drive/dataset_ml1/Nor_data_hrach/Hrach/with_box/chekbox/amount_ch_0_1_34_2.jpg,135,130,659,200,yes
/content/gdrive/My Drive/dataset_ml1/Nor_data_hrach/Hrach/with_box/chekbox/amount_ch_0_1_34_3.jpg,120,317,1207,363,yes
